t1,t2,t3,t4,t5,t6,brs
99,65,65,14,22,73,470
11,12,59,91,66,70,467
34,90,93,81,58,7,485
91,96,56,55,68,22,449
77,15,53,49,63,71,404
88,61,93,84,49,63,445
63,13,62,55,63,79,414
68,99,54,67,77,29,441
18,55,99,69,79,22,466
87,99,58,32,46,35,434
84,40,39,65,72,71,417
92,29,80,31,70,0,485
99,84,64,92,63,78,486
90,30,86,64,94,52,461
91,97,32,54,76,85,476
2,60,26,88,62,15,470
57,79,77,42,92,92,460
52,12,32,78,51,88,429
68,52,94,23,54,90,440
72,80,62,28,80,6,464
49,10,56,78,93,21,450
58,98,30,91,38,96,479
68,66,18,90,99,52,462
21,70,63,43,33,36,402
46,70,55,56,72,67,379
74,75,60,58,22,73,423
62,19,95,51,4,83,472
96,78,87,86,66,77,496
17,81,0,69,9,35,491
79,19,70,96,15,52,467
80,54,91,44,84,78,448
7,79,8,5,60,18,503
93,51,40,41,24,65,407
56,90,5,66,48,53,416
16,51,17,13,84,93,485
48,66,63,82,94,53,415
98,46,89,98,31,72,484
76,55,93,83,93,69,475
74,53,58,73,9,49,404
91,25,16,83,22,88,502
90,61,20,46,61,37,412
86,20,64,56,67,65,423
88,69,58,95,42,71,444
79,79,51,24,68,75,433
72,96,84,40,95,19,492
6,92,54,64,61,27,442
63,61,36,43,91,40,399
79,91,90,74,52,13,478
93,12,31,11,32,81,490
94,63,50,2,57,51,418
75,74,55,78,94,97,479
65,77,44,37,84,93,442
96,67,81,80,44,85,470
77,97,57,11,85,10,499
92,64,92,24,89,52,470
87,49,62,71,7,14,453
76,97,69,95,87,57,487
41,88,98,20,68,87,484
79,14,21,64,59,52,423
77,26,13,95,91,58,486
63,69,0,85,49,69,441
97,29,54,86,0,54,466
56,31,89,61,48,78,409
5,88,43,64,80,84,472
94,49,92,77,59,36,441
83,54,89,81,89,68,470
97,92,46,68,69,48,436
73,39,16,74,99,53,448
19,53,80,10,15,84,476
11,76,90,67,16,55,465
16,35,66,92,89,89,489
1,45,94,58,4,39,465
43,22,47,21,76,85,430
85,95,97,51,60,80,474
42,42,60,88,34,94,427
84,4,80,89,67,62,483
84,76,91,13,21,79,500
32,43,54,49,91,51,375
99,33,35,97,61,78,471
54,12,96,56,84,65,448
69,86,30,88,23,41,452
74,27,2,56,43,94,455
57,53,50,5,94,54,408
30,63,95,54,86,10,462
25,6,67,99,39,9,489
69,53,47,40,82,70,391
57,47,86,50,45,74,379
48,75,16,83,52,60,410
82,92,43,53,21,69,436
95,49,47,21,89,72,442
27,92,10,83,1,55,495
82,78,46,57,1,77,451
56,81,29,75,70,50,408
63,84,56,28,68,49,398
24,17,5,61,32,8,476
57,76,52,76,81,8,439
76,31,78,93,3,26,490
77,52,28,15,10,40,438
28,87,62,52,65,61,404
65,92,67,56,93,78,457
76,8,13,49,75,67,451
99,83,99,60,17,63,492
84,67,64,18,43,47,410
87,30,48,22,73,66,429
83,59,9,34,12,33,456
8,67,72,76,41,22,447
81,77,73,88,15,24,484
90,76,95,84,44,96,502
22,78,63,65,24,79,443
5,24,30,66,95,85,490
42,20,91,78,93,82,486
17,39,98,54,87,70,457
69,91,94,86,87,98,531
91,51,72,3,41,70,444
41,63,37,99,38,99,448
82,0,83,95,59,14,509
19,94,71,93,89,10,522
6,78,36,68,52,95,455
2,42,7,60,63,0,474
63,87,73,99,80,22,485
98,42,80,98,84,62,485
72,81,34,91,63,91,469
3,87,89,7,97,94,561
69,20,51,98,89,67,459
62,47,87,54,9,34,416
34,21,98,97,61,78,483
83,3,98,26,80,59,495
8,52,56,21,96,59,438
55,79,60,69,82,26,424
20,20,68,77,16,96,488
53,64,46,94,13,18,437
99,84,96,16,73,36,504
16,66,74,88,87,61,465
67,19,69,91,75,50,438
29,98,27,70,94,41,468
21,84,45,3,51,74,443
78,96,72,66,70,65,453
16,51,57,15,75,90,446
30,99,61,84,73,63,455
71,57,66,83,97,35,444
84,64,81,34,14,13,471
89,33,32,69,72,87,456
23,94,78,64,56,89,463
63,69,30,71,48,22,406
18,50,68,51,64,61,381
73,10,77,64,95,68,472
63,95,53,71,89,80,457
72,86,95,63,41,80,460
92,57,22,58,76,63,429
99,9,9,64,77,71,497
77,72,87,53,89,30,453
11,79,74,88,80,7,507
20,80,61,61,96,9,473
0,78,75,74,12,63,482
22,77,8,73,84,67,475
73,97,82,40,13,70,473
78,83,55,8,35,52,429
61,24,14,29,69,46,419
65,78,10,62,73,89,462
40,27,17,47,39,28,402
68,30,90,59,94,4,481
60,76,50,71,84,50,397
45,39,27,92,80,13,450
23,69,53,86,93,28,454
70,78,10,78,94,81,496
47,39,70,55,56,9,389
80,50,72,52,62,17,404
48,61,61,3,97,76,448
76,77,62,89,98,86,494
59,65,54,19,2,98,459
26,83,8,77,55,3,481
90,17,0,80,67,80,504
96,13,79,31,36,46,451
83,10,36,82,55,60,438
50,76,65,84,99,69,449
80,82,37,85,92,38,468
55,76,51,81,54,92,415
84,5,35,59,90,65,462
13,16,6,86,82,49,486
58,92,63,27,90,77,458
3,98,9,92,46,83,518
53,48,41,58,57,95,378
61,61,61,88,57,89,423
83,90,65,75,51,81,451
68,73,1,20,5,84,502
95,50,16,90,56,92,472
69,8,54,79,72,89,460
95,90,82,58,15,4,510
89,93,78,88,97,63,514
94,43,66,93,52,45,421
39,76,63,77,96,81,459
57,80,27,93,29,98,476
63,70,21,83,13,95,481
87,88,11,70,51,63,453
88,83,66,80,81,72,476
74,50,8,72,62,76,431
36,66,74,34,60,99,433
76,56,86,44,87,55,421
97,50,21,65,66,63,425
48,1,38,66,72,30,423
56,89,68,71,6,69,452
40,29,86,21,86,17,467
39,14,36,35,40,31,405
68,6,29,69,24,88,469
95,79,63,69,2,88,497
46,95,83,30,74,64,444
42,50,39,59,16,62,377
41,95,81,34,4,73,473
63,63,41,23,54,50,370
96,62,50,58,35,85,421
70,50,67,17,79,55,409
83,65,44,7,99,60,460
61,29,59,72,58,9,416
51,54,51,57,99,26,391
50,61,50,52,53,87,359
56,80,67,72,89,60,430
75,16,59,86,12,79,475
67,51,72,48,58,3,401
87,26,90,78,66,6,493
48,11,61,53,44,61,375
14,79,95,10,38,0,514
38,98,60,14,86,17,478
26,31,87,24,81,63,453
34,53,11,51,49,52,365
79,84,0,69,56,12,480
76,71,75,92,50,22,447
97,7,94,82,14,46,509
59,73,64,57,56,81,396
77,66,95,27,12,45,457
66,67,89,50,86,79,443
39,69,64,88,67,95,449
80,40,42,15,72,15,442
73,58,11,52,33,79,422
18,41,72,88,14,16,473
97,38,93,94,51,60,462
40,85,36,56,74,73,416
73,80,59,54,78,94,444
63,77,84,22,41,85,450
33,19,94,89,79,86,500
2,86,72,85,91,50,487
86,87,74,72,61,50,436
84,84,72,89,81,99,515
95,64,61,16,51,99,459
5,20,57,93,99,21,506
98,95,68,96,57,55,475
52,51,98,68,83,40,417
77,64,95,54,1,74,468
70,53,1,50,63,66,406
74,26,11,86,88,85,500
67,61,88,22,62,11,449
29,59,93,44,87,80,450
94,93,32,44,27,41,445
96,99,92,84,50,35,491
64,81,4,99,54,49,449
58,81,97,95,76,31,481
51,81,48,37,69,95,415
61,96,79,96,74,91,503
68,59,58,61,85,13,423
74,30,83,73,36,85,453
60,46,76,41,58,86,397
95,89,2,61,80,72,500
56,57,67,84,17,87,439
59,74,72,77,83,5,465
37,42,90,61,58,50,384
7,50,17,47,76,51,409
84,6,31,71,1,97,517
44,88,73,62,72,88,444
73,40,95,83,75,84,475
52,8,48,98,88,24,461
23,11,50,59,72,80,431
5,72,55,50,63,75,415
97,22,51,13,9,64,471
59,94,67,73,16,62,444
78,14,91,64,81,65,470
65,84,54,96,82,68,455
98,9,72,38,85,10,501
5,47,78,56,43,14,427
58,73,6,63,85,84,462
29,78,65,86,84,69,458
86,84,64,77,28,62,450
36,46,1,82,92,76,470
89,61,10,63,36,64,435
4,92,49,98,89,97,527
72,62,70,25,35,51,399
80,41,57,97,81,81,460
87,53,85,98,80,91,500
60,45,33,95,93,21,452
10,81,1,39,71,15,489
26,59,83,61,26,90,445
7,82,21,72,42,57,444
43,89,77,66,74,61,429
18,60,88,74,99,2,505
83,62,63,52,67,72,405
62,91,50,65,9,66,430
94,52,61,85,94,96,488
24,1,77,74,92,60,482
61,11,52,50,70,92,419
88,89,87,39,17,62,474
74,70,88,40,61,50,408
70,92,46,51,43,76,404
39,98,90,88,52,99,493
38,64,88,5,91,30,473
63,53,52,61,20,82,396
60,65,32,74,76,72,420
52,87,54,58,50,92,399
57,5,99,89,33,56,467
53,60,14,40,73,50,386
44,54,83,94,72,40,423
47,71,62,72,16,88,434
13,9,58,66,59,74,439
4,2,55,12,94,93,527
80,15,69,94,54,29,457
87,39,98,98,60,18,490
56,40,70,72,8,28,425
81,2,88,14,49,97,504
98,53,26,61,61,86,438
48,74,98,88,75,35,456
37,75,82,93,35,17,464
53,57,89,93,53,49,401
59,61,7,84,83,82,467
62,93,35,77,69,90,461
88,83,71,72,62,86,468
25,87,6,75,90,45,479
50,66,58,43,5,68,398
89,99,41,50,69,87,458
43,27,34,4,81,45,429
69,67,80,89,96,33,473
64,61,15,6,35,28,443
55,95,22,91,45,69,447
62,66,15,25,58,28,421
74,77,8,98,41,27,476
70,43,73,26,56,96,430
87,61,94,81,90,58,477
91,63,38,81,59,74,435
90,74,7,56,83,29,471
73,66,39,60,32,54,386
70,28,57,80,16,55,422
5,51,66,89,59,53,418
29,96,95,76,99,86,528
88,80,81,65,48,89,460
82,95,39,54,56,1,451
21,94,94,17,92,77,523
71,24,72,23,10,85,474
48,69,67,99,90,16,465
43,38,59,20,57,95,413
88,95,81,89,65,55,479
79,88,77,2,68,99,514
44,41,62,93,86,89,449
63,51,55,72,72,74,393
85,11,40,62,78,91,469
50,88,57,63,13,0,449
24,55,52,61,75,61,385
99,75,51,73,62,72,438
69,18,82,96,55,7,481
25,13,90,69,17,59,466
89,85,69,32,82,90,488
56,63,62,76,16,39,406
69,83,96,57,79,85,475
75,53,51,80,26,55,393
76,13,2,69,98,72,504
79,61,63,25,47,16,418
38,82,62,18,92,24,459
68,37,72,92,51,49,401
56,32,56,81,99,50,415
77,72,9,79,46,37,439
0,83,9,62,85,74,499
19,65,62,93,65,36,434
92,74,85,19,73,96,506
85,73,37,99,17,59,466
57,72,27,53,29,85,415
3,62,34,71,71,58,429
15,43,80,6,74,94,487
98,48,66,13,15,72,463
55,86,34,96,4,85,488
65,33,75,52,79,70,413
16,82,45,78,71,23,450
27,92,57,81,9,94,492
67,62,16,57,47,73,400
67,96,94,59,71,15,477
60,65,86,73,36,90,443
70,97,80,66,97,56,472
45,17,78,96,56,52,424
36,30,71,58,4,60,422
51,60,31,80,91,30,425
17,24,23,72,32,94,472
89,59,73,94,95,68,484
51,60,63,97,84,69,430
90,84,80,30,76,42,462
96,80,32,94,58,0,500
63,96,99,33,82,46,465
70,91,51,64,44,85,422
78,88,84,63,69,28,459
89,29,15,77,73,42,456
17,9,24,58,6,52,456
